"EXPEDITION_IN_CODE";"EXPEDITION_IN_CITY";"EXPEDITION_IN_DISTRICT";"EXPEDITION_IN_PROVINCE";"EXPEDITION_IN_PRICE_REG";"EXPEDITION_IN_PRICE_REG_ETD";"EXPEDITION_IN_PRICE_CARGO";"EXPEDITION_IN_PRICE_CARGO_ETD";"EXPEDITION_IN_PRICE_BEST";"EXPEDITION_IN_PRICE_BEST_ETD"
"AMQ10000";"Kota Ambon";"Ambon";"";58000;"2-3";35000;"";0;""
"AMQ10005";"Kota Ambon";"Nusaniwe";"";58000;"2-3";35000;"";0;""
"AMQ10006";"Kota Ambon";"Sirimau";"";58000;"2-3";35000;"";0;""
"AMQ10007";"Kota Ambon";"Teluk Ambon Baguala";"";113000;"5-7";68000;"";0;""
"AMQ10008";"Kota Ambon";"Teluk Ambon";"";113000;"5-7";68000;"";0;""
"AMQ10009";"Kota Ambon";"Leitimur Selatan";"";58000;"2-3";35000;"";0;""
"AMQ20100";"Kab. Maluku Tengah";"Kota Masohi";"";113000;"5-7";68000;"";0;""
"AMQ20101";"Kab. Maluku Tengah";"Banda";"";170000;"10-20";102000;"";0;""
"AMQ20107";"Kab. Maluku Tengah";"Leihitu";"";170000;"10-20";102000;"";0;""
"AMQ20108";"Kab. Maluku Tengah";"Pulau Haruku";"";170000;"10-20";102000;"";0;""
"AMQ20110";"Kab. Maluku Tengah";"Sala Hutu";"";113000;"5-7";68000;"";0;""
"AMQ20113";"Kab. Maluku Tengah";"Seram Utara";"";170000;"10-20";102000;"";0;""
"AMQ20115";"Kab. Maluku Tengah";"Tehoru";"";170000;"10-20";102000;"";0;""
"AMQ20116";"Kab. Maluku Tengah";"Teon Nila Serua";"";170000;"10-20";102000;"";0;""
"AMQ20118";"Kab. Maluku Tengah";"Amahai";"";170000;"10-20";102000;"";0;""
"AMQ20119";"Kab. Maluku Tengah";"Nusa Laut";"";170000;"10-20";102000;"";0;""
"AMQ20121";"Kab. Maluku Tengah";"Saparua";"";170000;"10-20";102000;"";0;""
"AMQ20200";"Kab. Maluku Tenggara";"Tual";"";90000;"3-5";54000;"";0;""
"AMQ20201";"Kab. Maluku Tenggara";"Kei Besar";"";170000;"10-20";102000;"";0;""
"AMQ20208";"Kab. Maluku Tenggara";"Kei Besar Selatan";"";170000;"10-20";102000;"";0;""
"AMQ20209";"Kab. Maluku Tenggara";"Kei Besar Utara Timur";"";170000;"10-20";102000;"";0;""
"AMQ20210";"Kab. Maluku Tenggara";"Kei Kecil";"";170000;"10-20";102000;"";0;""
"AMQ20211";"Kab. Maluku Tenggara";"Pulau-Pulau Kur";"";170000;"10-20";102000;"";0;""
"AMQ20213";"Kab. Maluku Tenggara";"Manyeuw";"";170000;"10-20";102000;"";0;""
"AMQ20214";"Kab. Maluku Tenggara";"Kei Kecil Timur Selatan";"";170000;"10-20";102000;"";0;""
"AMQ20215";"Kab. Maluku Tenggara";"Kei Kecil Timur";"";170000;"10-20";102000;"";0;""
"AMQ20216";"Kab. Maluku Tenggara";"Kei Kecil Barat";"";170000;"10-20";102000;"";0;""
"AMQ20217";"Kab. Maluku Tenggara";"Kei Besar Utara Barat";"";170000;"10-20";102000;"";0;""
"AMQ20218";"Kab. Maluku Tenggara";"Kei Besar Selatan Barat";"";170000;"10-20";102000;"";0;""
"AMQ20219";"Kab. Maluku Tenggara";"Hoat Sorbay";"";170000;"10-20";102000;"";0;""
"AMQ20252";"Kota Tual";"Pulau Dullah Utara";"";170000;"10-20";102000;"";0;""
"AMQ20253";"Kota Tual";"Pulau Dullah Selatan";"";170000;"10-20";102000;"";0;""
"AMQ20254";"Kota Tual";"Kur Selatan";"";170000;"10-20";102000;"";0;""
"AMQ20255";"Kota Tual";"Tayando Tam";"";170000;"10-20";102000;"";0;""
"AMQ20300";"Kab. Buru";"Namlea";"";113000;"5-7";68000;"";0;""
"AMQ20301";"Kab. Buru";"Air Buaya / Buru Utara Barat";"";170000;"10-20";102000;"";0;""
"AMQ20302";"Kab. Buru";"Leksula / Buru Selatan";"";170000;"10-20";102000;"";0;""
"AMQ20303";"Kab. Buru";"Waesama";"";170000;"10-20";102000;"";0;""
"AMQ20304";"Kab. Buru";"Wayapo / Buru Utara Timur";"";170000;"10-20";102000;"";0;""
"AMQ20305";"Kab. Buru";"Waplau";"";170000;"10-20";102000;"";0;""
"AMQ20306";"Kab. Buru";"Waelata";"";170000;"10-20";102000;"";0;""
"AMQ20307";"Kab. Buru";"Teluk Kaiely";"";170000;"10-20";102000;"";0;""
"AMQ20308";"Kab. Buru";"Lolong Guba";"";170000;"10-20";102000;"";0;""
"AMQ20309";"Kab. Buru";"Lilialy";"";170000;"10-20";102000;"";0;""
"AMQ20310";"Kab. Buru";"Fena Leisela";"";170000;"10-20";102000;"";0;""
"AMQ20311";"Kab. Buru";"Batabual";"";170000;"10-20";102000;"";0;""
"AMQ20313";"Kab. Buru Selatan";"Namrole";"";170000;"10-20";102000;"";0;""
"AMQ20314";"Kab. Buru Selatan";"Kepala Madan";"";170000;"10-20";102000;"";0;""
"AMQ20315";"Kab. Buru Selatan";"Fena Fafan";"";170000;"10-20";102000;"";0;""
"AMQ20316";"Kab. Buru Selatan";"Ambalau";"";170000;"10-20";102000;"";0;""
"AMQ20400";"Kab. Kepulauan Aru";"Dobo";"";170000;"10-20";102000;"";0;""
"AMQ20401";"Kab. Kepulauan Aru";"Pulau-Pulau Aru";"";170000;"10-20";102000;"";0;""
"AMQ20402";"Kab. Kepulauan Aru";"Pulau-Pulau Aru Selatan";"";170000;"10-20";102000;"";0;""
"AMQ20403";"Kab. Kepulauan Aru";"Pulau-Pulau Aru Tengah";"";170000;"10-20";102000;"";0;""
"AMQ20404";"Kab. Kepulauan Aru";"Sir-Sir";"";170000;"10-20";102000;"";0;""
"AMQ20405";"Kab. Kepulauan Aru";"Aru Utara Timur Batuley";"";170000;"10-20";102000;"";0;""
"AMQ20406";"Kab. Kepulauan Aru";"Aru Utara";"";170000;"10-20";102000;"";0;""
"AMQ20407";"Kab. Kepulauan Aru";"Aru Tengah Timur";"";170000;"10-20";102000;"";0;""
"AMQ20408";"Kab. Kepulauan Aru";"Aru Tengah Selatan";"";170000;"10-20";102000;"";0;""
"AMQ20409";"Kab. Kepulauan Aru";"Aru Selatan Utara";"";170000;"10-20";102000;"";0;""
"AMQ20410";"Kab. Kepulauan Aru";"Aru Selatan Timur";"";170000;"10-20";102000;"";0;""
"AMQ20600";"Kab. Seram Bagian Barat";"Piru";"";170000;"10-20";102000;"";0;""
"AMQ20601";"Kab. Seram Bagian Barat";"Kairatu";"";170000;"10-20";102000;"";0;""
"AMQ20602";"Kab. Seram Bagian Barat";"Seram Barat";"";170000;"10-20";102000;"";0;""
"AMQ20603";"Kab. Seram Bagian Barat";"Taniwel";"";170000;"10-20";102000;"";0;""
"AMQ20604";"Kab. Seram Bagian Barat";"Waisala";"";170000;"10-20";102000;"";0;""
"AMQ20605";"Kab. Seram Bagian Barat";"Taniwel Timur";"";170000;"10-20";102000;"";0;""
"AMQ20606";"Kab. Seram Bagian Barat";"Kepulauan Manipa";"";170000;"10-20";102000;"";0;""
"AMQ20607";"Kab. Seram Bagian Barat";"Kairatu Barat";"";170000;"10-20";102000;"";0;""
"AMQ20608";"Kab. Seram Bagian Barat";"Inamosol";"";170000;"10-20";102000;"";0;""
"AMQ20609";"Kab. Seram Bagian Barat";"Huamual Belakang";"";170000;"10-20";102000;"";0;""
"AMQ20610";"Kab. Seram Bagian Barat";"Huamual";"";170000;"10-20";102000;"";0;""
"AMQ20611";"Kab. Seram Bagian Barat";"Elpaputih";"";170000;"10-20";102000;"";0;""
"AMQ20612";"Kab. Seram Bagian Barat";"Amalatu";"";170000;"10-20";102000;"";0;""
"AMQ20700";"Kab. Seram Bagian Timur";"Dataran Hunimoa";"";170000;"10-20";102000;"";0;""
"AMQ20701";"Kab. Seram Bagian Timur";"Bula";"";170000;"10-20";102000;"";0;""
"AMQ20702";"Kab. Seram Bagian Timur";"Pulau-Pulau Gorong";"";170000;"10-20";102000;"";0;""
"AMQ20703";"Kab. Seram Bagian Timur";"Seram Timur";"";170000;"10-20";102000;"";0;""
"AMQ20704";"Kab. Seram Bagian Timur";"Werinama";"";170000;"10-20";102000;"";0;""
"AMQ20705";"Kab. Seram Bagian Timur";"Wakate";"";170000;"10-20";102000;"";0;""
"AMQ20706";"Kab. Seram Bagian Timur";"Tutuk Tolu";"";170000;"10-20";102000;"";0;""
"AMQ20707";"Kab. Seram Bagian Timur";"Teor";"";170000;"10-20";102000;"";0;""
"AMQ20708";"Kab. Seram Bagian Timur";"Teluk Waru";"";170000;"10-20";102000;"";0;""
"AMQ20709";"Kab. Seram Bagian Timur";"Siwalalat";"";170000;"10-20";102000;"";0;""
"AMQ20710";"Kab. Seram Bagian Timur";"Siritaun Wida Timur";"";170000;"10-20";102000;"";0;""
"AMQ20711";"Kab. Seram Bagian Timur";"Pulau Panjang";"";170000;"10-20";102000;"";0;""
"AMQ20712";"Kab. Seram Bagian Timur";"Pulau Gorom";"";170000;"10-20";102000;"";0;""
"AMQ20713";"Kab. Seram Bagian Timur";"Kilmury";"";170000;"10-20";102000;"";0;""
"AMQ20714";"Kab. Seram Bagian Timur";"Kian Darat";"";170000;"10-20";102000;"";0;""
"AMQ20715";"Kab. Seram Bagian Timur";"Gorom Timur";"";170000;"10-20";102000;"";0;""
"AMQ20716";"Kab. Seram Bagian Timur";"Bula Barat";"";170000;"10-20";102000;"";0;""
"AMQ20800";"Kab. Maluku Tenggara Barat";"Saumlaki";"";90000;"3-5";54000;"";0;""
"AMQ20801";"Kab. Maluku Tenggara Barat";"Damer ";"";170000;"10-20";102000;"";0;""
"AMQ20802";"Kab. Maluku Tenggara Barat";"Kormomolin";"";170000;"10-20";102000;"";0;""
"AMQ20803";"Kab. Maluku Tenggara Barat";"Luser";"";170000;"10-20";102000;"";0;""
"AMQ20804";"Kab. Maluku Tenggara Barat";"Mola";"";170000;"10-20";102000;"";0;""
"AMQ20805";"Kab. Maluku Tenggara Barat";"Nirunmas";"";170000;"10-20";102000;"";0;""
"AMQ20806";"Kab. Maluku Tenggara Barat";"Pulau-Pulau Babar ";"";170000;"10-20";102000;"";0;""
"AMQ20807";"Kab. Maluku Tenggara Barat";"Pulau-Pulau Babar Timur";"";170000;"10-20";102000;"";0;""
"AMQ20808";"Kab. Maluku Tenggara Barat";"Pulau-Pulau Letimoa Lakor ";"";170000;"10-20";102000;"";0;""
"AMQ20809";"Kab. Maluku Tenggara Barat";"Pulau-Pulau Terselatan";"";170000;"10-20";102000;"";0;""
"AMQ20810";"Kab. Maluku Tenggara Barat";"Pulau-Pulau Wetar";"";170000;"10-20";102000;"";0;""
"AMQ20811";"Kab. Maluku Tenggara Barat";"Selaru";"";170000;"10-20";102000;"";0;""
"AMQ20812";"Kab. Maluku Tenggara Barat";"Tanimbar Selatan";"";170000;"10-20";102000;"";0;""
"AMQ20813";"Kab. Maluku Tenggara Barat";"Tanimbar Utara";"";170000;"10-20";102000;"";0;""
"AMQ20814";"Kab. Maluku Tenggara Barat";"Wer Makatian";"";170000;"10-20";102000;"";0;""
"AMQ20815";"Kab. Maluku Tenggara Barat";"Wertamrian";"";170000;"10-20";102000;"";0;""
"AMQ20816";"Kab. Maluku Tenggara Barat";"Wuarlabobar";"";170000;"10-20";102000;"";0;""
"AMQ20817";"Kab. Maluku Tenggara Barat";"Yaru";"";170000;"10-20";102000;"";0;""
"AMQ20818";"Kab. Maluku Tenggara Barat";"Serwaru";"";170000;"10-20";102000;"";0;""
"AMQ20819";"Kab. Maluku Tenggara Barat";"Molu Maru";"";170000;"10-20";102000;"";0;""
"AMQ20820";"Kab. Maluku Tengah";"Telutih";"";170000;"10-20";102000;"";0;""
"AMQ20821";"Kab. Maluku Tengah";"Teluk Elpaputih";"";170000;"10-20";102000;"";0;""
"AMQ20822";"Kab. Maluku Tengah";"Seram Utara Timur Seti";"";170000;"10-20";102000;"";0;""
"AMQ20823";"Kab. Maluku Tengah";"Seram Utara Timur Kobi";"";170000;"10-20";102000;"";0;""
"AMQ20824";"Kab. Maluku Tengah";"Seram Utara Barat";"";170000;"10-20";102000;"";0;""
"AMQ20825";"Kab. Maluku Tengah";"Saparua Timur";"";170000;"10-20";102000;"";0;""
"AMQ20826";"Kab. Maluku Tengah";"Leihitu Barat";"";170000;"10-20";102000;"";0;""
"AMQ20827";"Kab. Maluku Barat Daya";"Wetar Utara";"";170000;"10-20";102000;"";0;""
"AMQ20828";"Kab. Maluku Barat Daya";"Wetar Timur";"";170000;"10-20";102000;"";0;""
"AMQ20829";"Kab. Maluku Barat Daya";"Wetar Barat";"";170000;"10-20";102000;"";0;""
"AMQ20830";"Kab. Maluku Barat Daya";"Pulau Wetang";"";170000;"10-20";102000;"";0;""
"AMQ20831";"Kab. Maluku Barat Daya";"Pulau Masela";"";170000;"10-20";102000;"";0;""
"AMQ20832";"Kab. Maluku Barat Daya";"Pulau Letti";"";170000;"10-20";102000;"";0;""
"AMQ20833";"Kab. Maluku Barat Daya";"Pulau Lakor";"";170000;"10-20";102000;"";0;""
"AMQ20834";"Kab. Maluku Barat Daya";"Moa Lakor";"";170000;"10-20";102000;"";0;""
"AMQ20835";"Kab. Maluku Barat Daya";"Kisar Utara";"";170000;"10-20";102000;"";0;""
"AMQ20836";"Kab. Maluku Barat Daya";"Kepulauan Romang";"";170000;"10-20";102000;"";0;""
"AMQ20837";"Kab. Maluku Barat Daya";"Dawelor Dawera";"";170000;"10-20";102000;"";0;""
"AMQ20838";"Kab. Maluku Barat Daya";"Mndona Hiera";"";170000;"10-20";102000;"";0;""
"AMQ20839";"Kab. Maluku Barat Daya";"Pulau Pulau Babar";"";170000;"10-20";102000;"";0;""
"BDJ10000";"Kota Banjarmasin";"Banjarmasin";"";33000;"1-2";20000;"";0;""
"BDJ10001";"Kota Banjarmasin";"Banjarmasin Barat";"";33000;"1-2";20000;"";0;""
"BDJ10002";"Kota Banjarmasin";"Banjarmasin Selatan ";"";33000;"1-2";20000;"";0;""
"BDJ10003";"Kota Banjarmasin";"Banjarmasin Tengah ";"";33000;"1-2";20000;"";0;""
"BDJ10004";"Kota Banjarmasin";"Banjarmasin Timur";"";33000;"1-2";20000;"";0;""
"BDJ10005";"Kota Banjarmasin";"Banjarmasin Utara";"";33000;"1-2";20000;"";0;""
"BDJ10100";"Kab. Hulu Sungai Tengah";"Barabai";"";45000;"3-5";27000;"";0;""
"BDJ10101";"Kab. Hulu Sungai Tengah";"Batang Alai Selatan";"";57000;"5-7";34500;"";0;""
"BDJ10102";"Kab. Hulu Sungai Tengah";"Batu Benawa";"";57000;"5-7";34500;"";0;""
"BDJ10103";"Kab. Hulu Sungai Tengah";"Batang Alai Utara";"";57000;"5-7";34500;"";0;""
"BDJ10104";"Kab. Hulu Sungai Tengah";"Haruyan";"";57000;"5-7";34500;"";0;""
"BDJ10105";"Kab. Hulu Sungai Tengah";"Labuan Amas Selatan";"";57000;"5-7";34500;"";0;""
"BDJ10106";"Kab. Hulu Sungai Tengah";"Labuan Amas Utara";"";57000;"5-7";34500;"";0;""
"BDJ10107";"Kab. Hulu Sungai Tengah";"Pandawan";"";57000;"5-7";34500;"";0;""
"BDJ10108";"Kab. Hulu Sungai Tengah";"Batang Alai Tengah";"";57000;"5-7";34500;"";0;""
"BDJ10109";"Kab. Hulu Sungai Tengah";"Hantakan ";"";57000;"5-7";34500;"";0;""
"BDJ10110";"Kab. Hulu Sungai Tengah";"Limpasu";"";57000;"5-7";34500;"";0;""
"BDJ10111";"Kab. Hulu Sungai Tengah";"Batang Alai Timur";"";57000;"5-7";34500;"";0;""
"BDJ10200";"Kab. Hulu Sungai Selatan";"Kandangan ";"";45000;"3-5";27000;"";0;""
"BDJ10201";"Kab. Hulu Sungai Selatan";"Angkinang";"";57000;"5-7";34500;"";0;""
"BDJ10202";"Kab. Hulu Sungai Selatan";"Daha Selatan";"";57000;"5-7";34500;"";0;""
"BDJ10203";"Kab. Hulu Sungai Selatan";"Daha Utara";"";57000;"5-7";34500;"";0;""
"BDJ10204";"Kab. Hulu Sungai Selatan";"Kalumpang";"";57000;"5-7";34500;"";0;""
"BDJ10205";"Kab. Hulu Sungai Selatan";"Loksado";"";57000;"5-7";34500;"";0;""
"BDJ10206";"Kab. Hulu Sungai Selatan";"Padang Batung";"";57000;"5-7";34500;"";0;""
"BDJ10207";"Kab. Hulu Sungai Selatan";"Simpur";"";57000;"5-7";34500;"";0;""
"BDJ10208";"Kab. Hulu Sungai Selatan";"Sungai Raya ";"";57000;"5-7";34500;"";0;""
"BDJ10209";"Kab. Hulu Sungai Selatan";"Telaga Langsat";"";57000;"5-7";34500;"";0;""
"BDJ10210";"Kab. Hulu Sungai Selatan";"Daha Barat ";"";57000;"5-7";34500;"";0;""
"BDJ10300";"Kab. Kota Baru";"Kota Baru";"";45000;"3-5";27000;"";0;""
"BDJ10302";"Kab. Kota Baru";"Hampang";"";57000;"5-7";34500;"";0;""
"BDJ10303";"Kab. Kota Baru";"Kelumpang Utara";"";57000;"5-7";34500;"";0;""
"BDJ10304";"Kab. Kota Baru";"Kelumpang Tengah";"";57000;"5-7";34500;"";0;""
"BDJ10305";"Kab. Kota Baru";"Kelumpang Hulu";"";57000;"5-7";34500;"";0;""
"BDJ10306";"Kab. Kota Baru";"Kelumpang Selatan";"";57000;"5-7";34500;"";0;""
"BDJ10309";"Kab. Kota Baru";"Pamukan Utara";"";57000;"5-7";34500;"";0;""
"BDJ10310";"Kab. Kota Baru";"Pamukan Selatan";"";57000;"5-7";34500;"";0;""
"BDJ10311";"Kab. Kota Baru";"Pulau Laut Selatan ";"";57000;"5-7";34500;"";0;""
"BDJ10312";"Kab. Kota Baru";"Pulau Laut Barat ";"";57000;"5-7";34500;"";0;""
"BDJ10313";"Kab. Kota Baru";"Pulau Laut Timur ";"";57000;"5-7";34500;"";0;""
"BDJ10314";"Kab. Kota Baru";"Pulau Sembilan ";"";57000;"5-7";34500;"";0;""
"BDJ10315";"Kab. Kota Baru";"Pulau Sebuku";"";57000;"5-7";34500;"";0;""
"BDJ10316";"Kab. Kota Baru";"Sampanahan";"";57000;"5-7";34500;"";0;""
"BDJ10318";"Kab. Kota Baru";"Sungai Durian";"";57000;"5-7";34500;"";0;""
"BDJ10319";"Kab. Kota Baru";"Pulau Laut Utara";"";57000;"5-7";34500;"";0;""
"BDJ10321";"Kab. Kotabaru";"Kelumpang Hilir";"";57000;"5-7";34500;"";0;""
"BDJ10322";"Kab. Kotabaru";"Pamukan Barat";"";57000;"5-7";34500;"";0;""
"BDJ10323";"Kab. Kotabaru";"Pulau Laut Tengah";"";57000;"5-7";34500;"";0;""
"BDJ10324";"Kab. Kotabaru";"Pulau Laut Tanjung Selayar";"";57000;"5-7";34500;"";0;""
"BDJ10325";"Kab. Kotabaru";"Pulau Laut Kepulauan";"";57000;"5-7";34500;"";0;""
"BDJ10326";"Kab. Kotabaru";"Kelumpang Barat";"";57000;"5-7";34500;"";0;""
"BDJ10400";"Kab. Tabalong";"Tanjung";"";45000;"3-5";27000;"";0;""
"BDJ10401";"Kab. Tabalong";"Banua Lawas";"";57000;"5-7";34500;"";0;""
"BDJ10402";"Kab. Tabalong";"Haruai";"";57000;"5-7";34500;"";0;""
"BDJ10403";"Kab. Tabalong";"Jaro";"";57000;"5-7";34500;"";0;""
"BDJ10404";"Kab. Tabalong";"Kelua";"";57000;"5-7";34500;"";0;""
"BDJ10405";"Kab. Tabalong";"Muara Harus";"";57000;"5-7";34500;"";0;""
"BDJ10406";"Kab. Tabalong";"Muara Uya";"";57000;"5-7";34500;"";0;""
"BDJ10407";"Kab. Tabalong";"Murung Pudak";"";57000;"5-7";34500;"";0;""
"BDJ10408";"Kab. Tabalong";"Pugaan";"";57000;"5-7";34500;"";0;""
"BDJ10409";"Kab. Tabalong";"Tanta";"";57000;"5-7";34500;"";0;""
"BDJ10410";"Kab. Tabalong";"Upau";"";57000;"5-7";34500;"";0;""
"BDJ10412";"Kab. Tabalong";"Bintang Ara ";"";57000;"5-7";34500;"";0;""
"BDJ10500";"Kota Banjarbaru";"BanjarBaru";"";33000;"1-2";20000;"";0;""
"BDJ10501";"Kota Banjarbaru";"Cempaka ";"";45000;"3-5";27000;"";0;""
"BDJ10502";"Kota Banjarbaru";"Landasan Ulin";"";45000;"3-5";27000;"";0;""
"BDJ10503";"Kota Banjarbaru";"Banjar Baru Selatan";"";45000;"3-5";27000;"";0;""
"BDJ10504";"Kota Banjarbaru";"Liang Anggang";"";45000;"3-5";27000;"";0;""
"BDJ10505";"Kota Banjarbaru";"Banjar Baru Utara";"";45000;"3-5";27000;"";0;""
"BDJ20100";"Kab. Hulu Sungai Utara";"Amuntai";"";45000;"3-5";27000;"";0;""
"BDJ20101";"Kab. Hulu Sungai Utara";"Amuntai Utara";"";45000;"3-5";27000;"";0;""
"BDJ20102";"Kab. Hulu Sungai Utara";"Amuntai Selatan";"";45000;"3-5";27000;"";0;""
"BDJ20104";"Kab. Hulu Sungai Utara";"Babirik";"";57000;"5-7";34500;"";0;""
"BDJ20106";"Kab. Hulu Sungai Utara";"Danau Panggang";"";57000;"5-7";34500;"";0;""
"BDJ20111";"Kab. Hulu Sungai Utara";"Sungai Pandan";"";57000;"5-7";34500;"";0;""
"BDJ20112";"Kab. Hulu Sungai Utara";"Amuntai Tengah ";"";45000;"3-5";27000;"";0;""
"BDJ20113";"Kab. Hulu Sungai Utara";"Banjang ";"";57000;"5-7";34500;"";0;""
"BDJ20114";"Kab. Hulu Sungai Utara";"Sungai Tabukan";"";57000;"5-7";34500;"";0;""
"BDJ20115";"Kab. Hulu Sungai Utara";"Paminggir";"";57000;"5-7";34500;"";0;""
"BDJ20116";"Kab. Hulu Sungai Utara";"Haur Gading";"";57000;"5-7";34500;"";0;""
"BDJ20200";"Kab. Barito Kuala";"Marabahan";"";45000;"3-5";27000;"";0;""
"BDJ20201";"Kab. Barito Kuala";"Alalak";"";57000;"5-7";34500;"";0;""
"BDJ20202";"Kab. Barito Kuala";"Anjir Pasar";"";57000;"5-7";34500;"";0;""
"BDJ20203";"Kab. Barito Kuala";"Anjir Muara";"";57000;"5-7";34500;"";0;""
"BDJ20204";"Kab. Barito Kuala";"Barambai";"";57000;"5-7";34500;"";0;""
"BDJ20205";"Kab. Barito Kuala";"Belawang";"";57000;"5-7";34500;"";0;""
"BDJ20206";"Kab. Barito Kuala";"Cerbon";"";57000;"5-7";34500;"";0;""
"BDJ20207";"Kab. Barito Kuala";"Kuripan ";"";57000;"5-7";34500;"";0;""
"BDJ20208";"Kab. Barito Kuala";"Mandastana";"";57000;"5-7";34500;"";0;""
"BDJ20209";"Kab. Barito Kuala";"Mekar Sari";"";57000;"5-7";34500;"";0;""
"BDJ20210";"Kab. Barito Kuala";"Rantau Badauh";"";57000;"5-7";34500;"";0;""
"BDJ20211";"Kab. Barito Kuala";"Tabunganen";"";57000;"5-7";34500;"";0;""
"BDJ20212";"Kab. Barito Kuala";"Tabukan";"";57000;"5-7";34500;"";0;""
"BDJ20213";"Kab. Barito Kuala";"Tamban";"";57000;"5-7";34500;"";0;""
"BDJ20214";"Kab. Barito Kuala";"Bakumpai ";"";57000;"5-7";34500;"";0;""
"BDJ20215";"Kab. Barito Kuala";"Wanaraya";"";57000;"5-7";34500;"";0;""
"BDJ20218";"Kab. Barito Kuala";"Jejangkit";"";57000;"5-7";34500;"";0;""
"BDJ20300";"Kab. Banjar";"Martapura ";"";45000;"3-5";27000;"";0;""
"BDJ20301";"Kab. Banjar";"Aluh Aluh";"";57000;"5-7";34500;"";0;""
"BDJ20302";"Kab. Banjar";"Astambul";"";57000;"5-7";34500;"";0;""
"BDJ20303";"Kab. Banjar";"Gambut";"";57000;"5-7";34500;"";0;""
"BDJ20304";"Kab. Banjar";"Karang Intan";"";57000;"5-7";34500;"";0;""
"BDJ20305";"Kab. Banjar";"Kertak Hanyar";"";57000;"5-7";34500;"";0;""
"BDJ20306";"Kab. Banjar";"Pengaron";"";57000;"5-7";34500;"";0;""
"BDJ20307";"Kab. Banjar";"Simpang Empat";"";57000;"5-7";34500;"";0;""
"BDJ20308";"Kab. Banjar";"Sungai Tabuk";"";57000;"5-7";34500;"";0;""
"BDJ20309";"Kab. Banjar";"Sungai Pinang";"";57000;"5-7";34500;"";0;""
"BDJ20310";"Kab. Banjar";"Aranio ";"";57000;"5-7";34500;"";0;""
"BDJ20311";"Kab. Banjar";"Mataraman ";"";57000;"5-7";34500;"";0;""
"BDJ20315";"Kab. Banjar";"Martapura Timur";"";57000;"5-7";34500;"";0;""
"BDJ20316";"Kab. Banjar";"Telaga Bauntung";"";57000;"5-7";34500;"";0;""
"BDJ20317";"Kab. Banjar";"Tatah Makmur";"";57000;"5-7";34500;"";0;""
"BDJ20318";"Kab. Banjar";"Sambung Makmur";"";57000;"5-7";34500;"";0;""
"BDJ20319";"Kab. Banjar";"Peramasan";"";57000;"5-7";34500;"";0;""
"BDJ20320";"Kab. Banjar";"Martapura Barat";"";57000;"5-7";34500;"";0;""
"BDJ20321";"Kab. Banjar";"Beruntung Baru";"";57000;"5-7";34500;"";0;""
"BDJ20400";"Kab. Tanah Laut";"Pelaihari";"";45000;"3-5";27000;"";0;""
"BDJ20401";"Kab. Tanah Laut";"Bati-Bati";"";57000;"5-7";34500;"";0;""
"BDJ20402";"Kab. Tanah Laut";"Jorong";"";57000;"5-7";34500;"";0;""
"BDJ20403";"Kab. Tanah Laut";"Kintap";"";57000;"5-7";34500;"";0;""
"BDJ20404";"Kab. Tanah Laut";"Kurau";"";57000;"5-7";34500;"";0;""
"BDJ20405";"Kab. Tanah Laut";"Panyipatan";"";57000;"5-7";34500;"";0;""
"BDJ20406";"Kab. Tanah Laut";"Takisung";"";57000;"5-7";34500;"";0;""
"BDJ20407";"Kab. Tanah Laut";"Batu Ampar ";"";57000;"5-7";34500;"";0;""
"BDJ20408";"Kab. Tanah Laut";"Tambang Ulang";"";57000;"5-7";34500;"";0;""
"BDJ20410";"Kab. Tanah Laut";"Bumi Makmur";"";57000;"5-7";34500;"";0;""
"BDJ20411";"Kab. Tanah Laut";"Bajuin";"";57000;"5-7";34500;"";0;""
"BDJ20500";"Kab. Tampin";"Rantau";"";45000;"3-5";27000;"";0;""
"BDJ20501";"Kab. Tampin";"Bakarangan";"";57000;"5-7";34500;"";0;""
"BDJ20502";"Kab. Tampin";"Binuang";"";57000;"5-7";34500;"";0;""
"BDJ20503";"Kab. Tampin";"Bungur";"";57000;"5-7";34500;"";0;""
"BDJ20504";"Kab. Tampin";"Candi Laras Utara";"";57000;"5-7";34500;"";0;""
"BDJ20505";"Kab. Tampin";"Candi Laras Selatan";"";57000;"5-7";34500;"";0;""
"BDJ20506";"Kab. Tampin";"Hatungun";"";57000;"5-7";34500;"";0;""
"BDJ20507";"Kab. Tampin";"Lokpaikat";"";57000;"5-7";34500;"";0;""
"BDJ20508";"Kab. Tampin";"Piani";"";57000;"5-7";34500;"";0;""
"BDJ20509";"Kab. Tampin";"Salam Babaris";"";57000;"5-7";34500;"";0;""
"BDJ20510";"Kab. Tampin";"Tapin Tengah";"";57000;"5-7";34500;"";0;""
"BDJ20511";"Kab. Tampin";"Tapin Selatan";"";57000;"5-7";34500;"";0;""
"BDJ20512";"Kab. Tampin";"Tapin Utara";"";57000;"5-7";34500;"";0;""
"BDJ20700";"Kab. Barito Utara";"Muara Teweh";"";45000;"3-5";27000;"";0;""
"BDJ20701";"Kab. Barito Utara";"Gunung Purei";"";57000;"5-7";34500;"";0;""
"BDJ20702";"Kab. Barito Utara";"Gunung Timang";"";57000;"5-7";34500;"";0;""
"BDJ20703";"Kab. Barito Utara";"Lahei";"";57000;"5-7";34500;"";0;""
